====================================================================================================
FILE: raw/2016-17/monthly/FR_APr_2016.pdf
PAGES: 355
====================================================================================================
Page   1 | text_chars=    0 | images= 2 | 
Page  78 | text_chars=  151 | images= 2 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 74 MoSPI OCMS Graphical Presentation of TELECOMMUNICATIONS Sector Delay in Months
Page  79 | text_chars=  150 | images= 2 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 75 MoSPI OCMS Graphical Presentation of URBAN DEVELOPMENT Sector Delay in Months
Page  80 | text_chars= 1292 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 76 MoSPI OCMS Sectorwise analysis of projects Cost (Rs. crore) Sector Number of projects Original Latest Anticip
Page  81 | text_chars= 3582 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 77 MoSPI OCMS (All Cost/ Expenditure in Rs. Crore) Sector Wise Details (April 2016) Date of Commissioning SI.No 
Page  82 | text_chars= 3708 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 78 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page  83 | text_chars= 3842 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 79 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page  84 | text_chars= 3956 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 80 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page  85 | text_chars= 2937 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 81 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page  86 | text_chars= 3909 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 82 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page  87 | text_chars= 3290 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 83 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
