====================================================================================================
FILE: raw/2024-25/monthly/April_Part-II_List_of_tables.pdf
PAGES: 572
====================================================================================================
Page   1 | text_chars=    0 | images= 1 | 
Page  45 | text_chars= 1620 | images= 1 | TABLE-17 Sector wise analysis of projects Rs. 150 Crore and above Cost (Rs. crore) Sector Number of projects Original Latest Anticipated Cumulative Expenditure ATOMIC ENERGY 5 1,16
Page  46 | text_chars= 3207 | images= 1 | TABLE-18 State-Wise Position of Central Sector Projects costing Rs. 150 Crore and above showing Both Time and Cost Overruns (All Cost/ Expenditure in Rs. crore) Projects with time 
Page  47 | text_chars=  733 | images= 1 | TABLE-19 EXECUTIVE SUMMARY COSTING Rs. 1000 Crore and above Sl.No. Sector Projects on Monitor Projects Additionally Delayed 1 ROAD TRANSPORT AND HIGHWAYS 298 49 2 RAILWAYS 110 8 3 
Page  48 | text_chars= 3290 | images= 1 | TABLE-20 Month wise List of Completed Projects Costing Rs. 1000 crore and above during 2024-2025 Sl. No Project Name Original Cost (Rs. crore) Original Date of commissioning Cumula
Page  49 | text_chars=  865 | images= 1 | Month wise List of Completed Projects Costing Rs. 1000 crore and above during 2024-2025 Sl. No Project Name Original Cost (Rs. crore) Original Date of commissioning Cumulative Expe
Page  50 | text_chars=  364 | images= 1 | TABLE-21 Month wise List of Deleted Projects Costing Rs. 1000 crore and above during 2024-2025 Sl. No Project Name Original Cost (Rs. crore) Original Date of Commissioning Cumulati
Page  51 | text_chars= 2394 | images= 1 | TABLE-22 Project status Rs. 1000 Crore and above Number of Projects With Respect To Delayed Ahead On schedule Without ODC but DOC available Without D.O.C Total Original ( Date ) 30
Page  52 | text_chars=  754 | images= 1 | Additional Delayed Project cost Rs. 1000 Crore and above (All Cost/ Expenditure in Rs. crore ) Cost overrun With Respect to No. of Projects Sanctioned Cost Anticipated Cost Expendi
Page  53 | text_chars= 2157 | images= 1 | TABLE-23 Extent of cost overrun in projects with respect to original cost (Sector Wise) Rs. (All Cost/ Expenditure in Rs. crore ) 1000 Crore and above Projects with cost overrun^ S
Page  54 | text_chars= 3087 | images= 1 | TABLE-24 Extent of cost overrun in projects with respect to original cost (State Wise) Rs. (All Cost/ Expenditure in Rs. crore 1000 Crore and above Projects with cost overrun^ SI.N
Page  55 | text_chars= 2091 | images= 1 | TABLE-25 $- Time overrun = Anticipated Date of Commissioning minus Original Date of Commissioning Extent of time overrun in projects with respect to original schedule Rs. (All Cost
Page  56 | text_chars= 3141 | images= 1 | TABLE-26 $- Time overrun = Anticipated Date of Commissioning minus Original Date of Commissioning Extent of time overrun in projects with respect to original schedule(State Wise) R
Page  57 | text_chars= 2059 | images= 1 | TABLE-27 $- Time overrun = Anticipated Date of Commissioning minus Revised/Original Date of Commissioning Extent of time overrun in projects with respect to latest schedule Rs. (Al
Page  58 | text_chars= 2091 | images= 1 | TABLE-28 Extent of cost overrun in projects with respect to latest cost Rs. (All Cost/ Expenditure in Rs. crore) 1000 Crore and above Projects with cost overruns^ SI.No. Sector No.
Page  59 | text_chars= 2232 | images= 1 | TABLE-29 Extent of time & cost overrun in projects with respect to latest schedule&cost Rs. (All Cost/ Expenditure in Rs. crore) 1000 Crore and above Projects with time$ & cost ove
Page  60 | text_chars= 2189 | images= 1 | TABLE-30 Extent of time & cost overrun in projects with respect to original schedule&cost Rs. (All Cost/ Expenditure in Rs. crore 1000 Crore and above Projects with time$ & cost ov
Page  61 | text_chars= 2608 | images= 1 | TABLE-31 List of projects completed/dropped/Frozen during current month Rs. (All Cost/ Expenditure in Rs. crore) 1000 Crore and above Original Now anticipated SI.No Project DOA Cos
Page  62 | text_chars= 1667 | images= 1 | List of projects completed/dropped/Frozen during current month Rs. (All Cost/ Expenditure in Rs. crore) 1000 Crore and above Original Now anticipated SI.No Project DOA Cost DOC Cos
Page  63 | text_chars= 2137 | images= 1 | TABLE-32 List of projects added Rs. 1000 Crore and above (April 2024) Original Anticipated SI.No Project DOA Cost DOC Cost DOC PETROLEUM 1 ETHYLENE CRACKER PROJECT AT BINA REFINERY
Page  64 | text_chars=  919 | images= 1 | List of projects added Rs. 1000 Crore and above (April 2024) Original Anticipated SI.No Project DOA Cost DOC Cost DOC 12 6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM CHANDRASEKHARA
Page  65 | text_chars=  244 | images= 1 | TABLE-33 Milestones (Cumulative due & achieved) Rs. 1000 Crore and above Total 2777 Achieved up to month 1721 62
Page  66 | text_chars= 2241 | images= 1 | TABLE-34 List of projects reporting additional delayed Rs. 1000 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last m
Page  67 | text_chars= 2475 | images= 1 | List of projects reporting additional delayed Rs. 1000 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This
Page  68 | text_chars= 2763 | images= 1 | List of projects reporting additional delayed Rs. 1000 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This
Page  69 | text_chars= 2805 | images= 1 | List of projects reporting additional delayed Rs. 1000 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This
Page  70 | text_chars= 2587 | images= 1 | List of projects reporting additional delayed Rs. 1000 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This
Page  71 | text_chars=  918 | images= 1 | List of projects reporting additional delayed Rs. 1000 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This
Page  72 | text_chars= 1421 | images= 1 | TABLE-35 Sector wise analysis of projects Rs. 1000 Crore and above Cost (Rs. crore) Sector Number of projects Original Latest Anticipated Cumulative Expenditure ATOMIC ENERGY 5 1,1
Page  73 | text_chars= 3144 | images= 1 | TABLE-36 ^ - Cost Overrun = Anticipated Cost minus Original Cost $- Time overrun = Anticipated Date of Commissioning minus Original Date of Commissioning State-Wise Position of Cen
Page  74 | text_chars= 2983 | images= 1 | Sector-wise List of Projects Requiring Focused Attention Annexure-1 S.N o. Project Name Sector DOC Original DOC Anticipat ed Original Cost Anticipate d Cost COR(%) TOR (in mon ths)
Page  75 | text_chars= 3336 | images= 1 | 25 Manoharabad-Kothpall New Line(SCR) Railways Mar-10 Mar-25 1160.48 3014 159.72 180 26 Mayladuthurai-Thiruvarur-Karaikudi- Thiru 'Pondi'-Agastiyampalli Railways Feb-19 Mar-27 724.
Page  76 | text_chars=  714 | images= 1 | Section Of Nh-87 From Km 42.791 (Design Chainage 43.446) To Km 88 And Highways 51 Construction Of Rehabilitation And Upgrading To 2 Lanes/2 Lane(For Lot-I- Km 40.00 To Km 65.400 An
Page  77 | text_chars= 1738 | images= 1 | State-wise Central Sector Projects Summary Annexure-II S.No. State Total Projects Original cost Anticipated cost Cumulative Expenditure 1 ANDAMAN AND NICOBAR ISLANDS 9 2847.18 3118
Page  78 | text_chars= 2629 | images= 1 | List of Projects in which Expenditure is More than Approved Cost Annexure - III Costing Rs. 150 Crore and above (April 2024) Date of Commissioning S.No Project Date of Approval Ori
Page  79 | text_chars= 2724 | images= 1 | List of Projects in which Expenditure is More than Approved Cost Costing Rs. 150 Crore and above (April 2024) Date of Commissioning S.No Project Date of Approval Original/ Revised 
Page  80 | text_chars= 3309 | images= 1 | List of Projects in which Expenditure is More than Approved Cost Costing Rs. 150 Crore and above (April 2024) Date of Commissioning S.No Project Date of Approval Original/ Revised 
Page  81 | text_chars= 3819 | images= 1 | List of Projects in which Expenditure is More than Approved Cost Costing Rs. 150 Crore and above (April 2024) Date of Commissioning S.No Project Date of Approval Original/ Revised 
Page  82 | text_chars= 3655 | images= 1 | List of Projects in which Expenditure is More than Approved Cost Costing Rs. 150 Crore and above (April 2024) Date of Commissioning S.No Project Date of Approval Original/ Revised 
Page  83 | text_chars= 3215 | images= 1 | List of Projects in which Expenditure is More than Approved Cost Costing Rs. 150 Crore and above (April 2024) Date of Commissioning S.No Project Date of Approval Original/ Revised 
Page  84 | text_chars= 3330 | images= 1 | List of Projects in which Expenditure is More than Approved Cost Costing Rs. 150 Crore and above (April 2024) Date of Commissioning S.No Project Date of Approval Original/ Revised 
Page  85 | text_chars= 3758 | images= 1 | List of Projects in which Expenditure is More than Approved Cost Costing Rs. 150 Crore and above (April 2024) Date of Commissioning S.No Project Date of Approval Original/ Revised 
Page  86 | text_chars= 3361 | images= 1 | List of Projects in which Expenditure is More than Approved Cost Costing Rs. 150 Crore and above (April 2024) Date of Commissioning S.No Project Date of Approval Original/ Revised 
Page  87 | text_chars= 2902 | images= 1 | List of Projects in which Expenditure is More than Approved Cost Costing Rs. 150 Crore and above (April 2024) Date of Commissioning S.No Project Date of Approval Original/ Revised 
Page  88 | text_chars= 2597 | images= 1 | Annexure - IV Details of Projects Ahead of Schedule w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Ap
Page  89 | text_chars= 3782 | images= 1 | Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year) Original / Revised Cost (Rs. crore) Antici pated Cost (R
Page  90 | text_chars= 1799 | images= 1 | Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year) Original / Revised Cost (Rs. crore) Antici pated Cost (R
Page  91 | text_chars= 2800 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Annexure - V Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval 
Page  92 | text_chars= 4039 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page  93 | text_chars= 3936 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page  94 | text_chars= 3088 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page  95 | text_chars= 3758 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page  96 | text_chars= 3847 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page  97 | text_chars= 3550 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page  98 | text_chars= 3967 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page  99 | text_chars= 3480 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 100 | text_chars= 3659 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
